Country,Region,Gear,Vessel_size,Other,Type,HKE_kg,Total_kg,Perc_HKE,Fuel_Litres,Fuel_Intensity,Year
DEU,NAO,DTS,2440,NGI,LSF,144267,33543482,0.004300895,5289110,157.6792177,2008
DNK,NAO,DTS,2440,NGI,LSF,722339.48,130618962.5,0.005530127,22262793.46,170.4407464,2008
DNK,NAO,PGP,1218,NGI,LSF,149916.98,4342710.04,0.034521527,1623468.05,373.8375427,2008
DNK,NAO,PMP,1824,NGI,LSF,126819,2284180.11,0.055520578,2985984.94,1307.245837,2008
ESP,NAO,DFN,1012,NGI*,SSF,7870.65,449537.1,0.017508344,232846.23,517.968884,2008
ESP,NAO,DFN,1218,NGI,LSF,1107149.61,3519137.1,0.314608263,1050452.24,298.497106,2008
ESP,NAO,DFN,1824,NGI*,LSF,1927123.72,3473132.78,0.554866123,2317540,667.276533,2008
ESP,NAO,DTS,1218,NGI*,LSF,59511.85,1701460.25,0.034976926,8258981.56,4854.054957,2008
ESP,NAO,DTS,1824,NGI,LSF,401327.3,4530139.7,0.088590491,26714913.29,5897.149991,2008
ESP,NAO,DTS,2440,NGI,LSF,18215490.7,108858480.3,0.167331848,122818039.1,1128.235841,2008
ESP,NAO,FPO,1012,NGI,SSF,NA,NA,NA,NA,NA,2008
ESP,NAO,FPO,1218,NGI,LSF,NA,NA,NA,NA,NA,2008
ESP,NAO,HOK,1012,NGI*,SSF,110067.29,553287.23,0.198933364,42885.71,77.51075332,2008
ESP,NAO,HOK,1218,NGI,LSF,443969.2,2476754.06,0.179254455,3360685.8,1356.891205,2008
ESP,NAO,HOK,1824,NGI,LSF,910200.83,7617870.54,0.119482318,9042020,1186.948499,2008
ESP,NAO,HOK,2440,NGI,LSF,604022.04,11723746.6,0.051521247,12907333.33,1100.956356,2008
ESP,NAO,PGP,2440,NGI*,LSF,NA,NA,NA,NA,NA,2008
ESP,NAO,PMP,10,NGI,SSF,349443.34,9924086.73,0.035211637,12899099.33,1299.776965,2008
ESP,NAO,PMP,1218,NGI*,LSF,626577.37,10701238.1,0.058551858,10028313,937.1170799,2008
FRA,NAO,DFN,10,NGI,SSF,155257.67,3854046.09,0.040284331,2851485,739.8679033,2008
FRA,NAO,DFN,1012,NGI,SSF,210629.02,12034916.2,0.017501495,6890065,572.5062714,2008
FRA,NAO,DFN,1218,NGI*,LSF,293114.73,8126267.54,0.036070032,5592818,688.239462,2008
FRA,NAO,DFN,1824,NGI,LSF,1884913.7,6351289.12,0.296776554,4547597,716.0116496,2008
FRA,NAO,DFN,2440,NGI*,LSF,4153325.94,7250721.06,0.572815573,4521005,623.5248829,2008
FRA,NAO,DTS,1012,NGI*,SSF,759347.72,12295565.73,0.061757851,10906486,887.0259604,2008
FRA,NAO,DTS,1218,NGI,LSF,2039473.43,22958139.68,0.088834438,33472224,1457.967608,2008
FRA,NAO,DTS,1824,NGI*,LSF,1052611.17,55575724.46,0.018940125,75171657,1352.598778,2008
FRA,NAO,DTS,2440,NGI*,LSF,998720.21,33724939.65,0.029613699,34697811,1028.847238,2008
FRA,NAO,DTS,40XX,NGI,LSF,999540.13,34792293.84,0.028728779,24108211,692.9181247,2008
FRA,NAO,HOK,10,NGI,SSF,59679.34,2943975.6,0.020271683,3292030,1118.22598,2008
FRA,NAO,HOK,1012,NGI,SSF,61703.52,2372958.2,0.026002784,1582347,666.8246411,2008
FRA,NAO,HOK,2440,NGI*,LSF,1399294.37,4146774.27,0.337441654,2531400,610.4503971,2008
FRA,NAO,MGO,10,NGI*,SSF,6388.4,623023.89,0.01025386,1699466,2727.770198,2008
FRA,NAO,TM,1218,NGI,LSF,149091.02,2879541.91,0.051775951,1666383,578.6972554,2008
FRA,NAO,TM,1824,NGI*,LSF,193839.8,19920882.01,0.009730483,10427941,523.4678362,2008
GBR,NAO,DFN,10,NGI,SSF,691.2,5790912.74,0.000119359,2851595,492.4258278,2008
GBR,NAO,DFN,1012,NGI*,SSF,199022.8,2109791.5,0.094332923,1252190,593.5136245,2008
GBR,NAO,DFN,2440,NGI*,LSF,61726.4,2812580.7,0.021946535,1612600,573.3524375,2008
GBR,NAO,DTS,1824,NGI,LSF,967611.4,49193838.6,0.019669362,49966150,1015.699352,2008
GBR,NAO,DTS,2440,NGI,LSF,1922856.7,59527095.4,0.032302209,59238000,995.1434654,2008
GBR,NAO,HOK,2440,NGI*,LSF,2641623.4,3646715.5,0.724384285,7710050,2114.244997,2008
IRL,NAO,DFN,10,NA,SSF,NA,NA,NA,NA,NA,2008
IRL,NAO,DFN,1012,NA,SSF,6601.93,435759.14,0.015150411,562042.86,1289.801655,2008
IRL,NAO,DFN,1824,*,LSF,333475.98,4554296.03,0.073222289,1917366.88,421.0018118,2008
IRL,NAO,DTS,10,NA,SSF,NA,NA,NA,NA,NA,2008
IRL,NAO,DTS,1218,NA,LSF,36944.21,2707043.74,0.013647437,2239351.38,827.231325,2008
IRL,NAO,DTS,1824,NA,LSF,348258.44,14393551.18,0.024195449,21853072.77,1518.254425,2008
IRL,NAO,DTS,2440,NA,LSF,428225.43,10126630.74,0.042287059,14535531.23,1435.37684,2008
IRL,NAO,TBB,2440,*,LSF,14163.83,1506515.74,0.009401714,1074266.29,713.0800306,2008
PRT,NAO,DFN,10,NGI,SSF,16938,1367217,0.01238867,630614,461.2391449,2008
PRT,NAO,DFN,1012,NGI,SSF,22103,335464,0.065887845,238795,711.834951,2008
PRT,NAO,DFN,1218,NGI,LSF,320421,3090135,0.103691586,1966862,636.497111,2008
PRT,NAO,DFN,1824,NGI,LSF,487331,1944538,0.250615313,1548308,796.2343755,2008
PRT,NAO,DTS,10,NGI,SSF,3972,111550,0.035607351,51099,458.0815778,2008
PRT,NAO,DTS,1012,NGI,SSF,NA,NA,NA,NA,NA,2008
PRT,NAO,DTS,1218,NGI,LSF,49189,981731,0.050104356,955908,973.6964606,2008
PRT,NAO,DTS,1824,NGI,LSF,21449,496792,0.043175011,1712384,3446.883203,2008
PRT,NAO,DTS,2440,NGI,LSF,857305,21094270,0.040641606,28334457,1343.230034,2008
PRT,NAO,FPO,1218,NGI*,LSF,25739,3367741,0.007642809,1477736,438.7914629,2008
